name	price	off	ratings	total_ratings	free_delivery	fastest_delivery
HP Pavilion 14 12th Gen Intel Core i7 16GB SDRAM/1TB SSD 14 inch(35.6cm) FHD,IPS,Micro-Edge Display/Intel Iris Xe Graphic...	76990.0	17.0	4.1	795	FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office..."	40990.0	33.0	3.7	153	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"ASUS Vivobook 14 Thin and Light Laptop, Core i3-1215U 12th Gen, 14"" (35.56 cm) FHD, 60Hz (8GB RAM/512GB SSD/Windows 11/Off..."	34990.0	39.0	3.8	361	FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
"HP 15 Core i5 13th Gen (16GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Windows 11/MS Office' 21/Backlit Keyboard/Silver/ 1.59 kg) ..."	56190.0	23.0	3.6	97	FREE delivery Tue, 19 Nov	
"ASUS TUF Gaming A15, 15.6"" FHD 16:9, 144Hz 250nits, AMD Ryzen 7 7435HS Processor, Gaming Laptop (16GB RAM/512GB SSD/RTX 40..."	96990.0	19.0	4.3	14	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
MSI Thin 15, Intel 12th Gen. Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeFor...	59990.0	31.0	4.2	23	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"ASUS Vivobook 15, 15.6"" (39.62cm) FHD, 60Hz, Core i7-12700H 12th Gen, Thin and Light Laptop (16GB RAM/512GB SSD/Iris Xᵉ Gr..."	57990.0	28.0	3.6	43	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
FUTOPIA Ultimus PRO Intel Dual Core ~2.4GHz (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3CNC43BN-MB Thin and Light Lap...	12990.0	48.0	3.9	16	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"ASUS Zenbook Duo OLED (2024), 14"" (35.56cm) FHD OLED Touch Display, Intel Core Ultra 9 185H, Built-in AI, D..."	238990.0	10.0	5.0	7	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
HP Pavilion Plus 14 AI-enhanced Laptop, Intel EVO Core Ultra 5 125H,14-inch (35.6 cm) 16GB, 512GB SSD, Inte...	82990.0	23.0	3.4	33	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
